czas;temp;moc
0;20.010189;1800.000000
1;20.020370;1800.000000
2;20.030544;1800.000000
3;20.040710;1800.000000
4;20.050869;1800.000000
5;20.061020;1800.000000
6;20.071163;1800.000000
7;20.081299;1800.000000
8;20.091427;1800.000000
9;20.101547;1800.000000
10;20.111660;1800.000000
11;20.121765;1800.000000
12;20.131863;1800.000000
13;20.141953;1800.000000
14;20.152035;1800.000000
15;20.162109;1800.000000
16;20.172176;1800.000000
17;20.182234;1800.000000
18;20.192284;1800.000000
19;20.202326;1800.000000
20;20.212360;1800.000000
21;20.222387;1800.000000
22;20.232407;1800.000000
23;20.242418;1800.000000
24;20.252422;1800.000000
25;20.262419;1800.000000
26;20.272408;1800.000000
27;20.282389;1800.000000
28;20.292362;1800.000000
29;20.302328;1800.000000
30;20.312286;1800.000000
31;20.322237;1800.000000
32;20.332180;1800.000000
33;20.342115;1800.000000
34;20.352043;1800.000000
35;20.361963;1800.000000
36;20.371876;1800.000000
37;20.381781;1800.000000
38;20.391678;1800.000000
39;20.401569;1800.000000
40;20.411453;1800.000000
41;20.421329;1800.000000
42;20.431198;1800.000000
43;20.441059;1800.000000
44;20.450912;1800.000000
45;20.460758;1800.000000
46;20.470596;1800.000000
47;20.480427;1800.000000
48;20.490250;1800.000000
49;20.500065;1800.000000
50;20.509872;1800.000000
51;20.519672;1800.000000
52;20.529465;1800.000000
53;20.539249;1800.000000
54;20.549026;1800.000000
55;20.558796;1800.000000
56;20.568560;1800.000000
57;20.578316;1800.000000
58;20.588064;1800.000000
59;20.597805;1800.000000
60;20.607538;1800.000000
61;20.617264;1800.000000
62;20.626982;1800.000000
63;20.636692;1800.000000
64;20.646395;1800.000000
65;20.656090;1800.000000
66;20.665779;1800.000000
67;20.675461;1800.000000
68;20.685135;1800.000000
69;20.694801;1800.000000
70;20.704460;1800.000000
71;20.714111;1800.000000
72;20.723755;1800.000000
73;20.733391;1800.000000
74;20.743021;1800.000000
75;20.752644;1800.000000
76;20.762259;1800.000000
77;20.771866;1800.000000
78;20.781466;1800.000000
79;20.791058;1800.000000
80;20.800642;1800.000000
81;20.810221;1800.000000
82;20.819792;1800.000000
83;20.829355;1800.000000
84;20.838911;1800.000000
85;20.848459;1800.000000
86;20.858000;1800.000000
87;20.867535;1800.000000
88;20.877062;1800.000000
89;20.886581;1800.000000
90;20.896093;1800.000000
91;20.905598;1800.000000
92;20.915096;1800.000000
93;20.924587;1800.000000
94;20.934071;1800.000000
95;20.943546;1800.000000
96;20.953014;1800.000000
97;20.962477;1800.000000
98;20.971931;1800.000000
99;20.981379;1800.000000
100;20.990818;1800.000000
101;21.000250;1800.000000
102;21.009676;1800.000000
103;21.019094;1800.000000
104;21.028505;1800.000000
105;21.037909;1800.000000
106;21.047306;1800.000000
107;21.056696;1800.000000
108;21.066078;1800.000000
109;21.075453;1800.000000
110;21.084822;1800.000000
111;21.094183;1800.000000
112;21.103537;1800.000000
113;21.112883;1800.000000
114;21.122223;1800.000000
115;21.131556;1800.000000
116;21.140881;1800.000000
117;21.150198;1800.000000
118;21.159510;1800.000000
119;21.168814;1800.000000
120;21.178110;1800.000000
121;21.187399;1800.000000
122;21.196682;1800.000000
123;21.205957;1800.000000
124;21.215225;1800.000000
125;21.224487;1800.000000
126;21.233742;1800.000000
127;21.242989;1800.000000
128;21.252228;1800.000000
129;21.261461;1800.000000
130;21.270687;1800.000000
131;21.279905;1800.000000
132;21.289118;1800.000000
133;21.298323;1800.000000
134;21.307520;1800.000000
135;21.316711;1800.000000
136;21.325895;1800.000000
137;21.335072;1800.000000
138;21.344242;1800.000000
139;21.353405;1800.000000
140;21.362560;1800.000000
141;21.371708;1800.000000
142;21.380850;1800.000000
143;21.389984;1800.000000
144;21.399113;1800.000000
145;21.408234;1800.000000
146;21.417347;1800.000000
147;21.426455;1800.000000
148;21.435555;1800.000000
149;21.444647;1800.000000
150;21.453733;1800.000000
151;21.462812;1800.000000
152;21.471884;1800.000000
153;21.480949;1800.000000
154;21.490007;1800.000000
155;21.499058;1800.000000
156;21.508102;1800.000000
157;21.517139;1800.000000
158;21.526171;1800.000000
159;21.535194;1800.000000
160;21.544210;1800.000000
161;21.553221;1800.000000
162;21.562223;1800.000000
163;21.571218;1800.000000
164;21.580208;1800.000000
165;21.589190;1800.000000
166;21.598166;1800.000000
167;21.607134;1800.000000
168;21.616096;1800.000000
169;21.625051;1800.000000
170;21.633999;1800.000000
171;21.642941;1800.000000
172;21.651875;1800.000000
173;21.660803;1800.000000
174;21.669724;1800.000000
175;21.678637;1800.000000
176;21.687544;1800.000000
177;21.696444;1800.000000
178;21.705338;1800.000000
179;21.714224;1800.000000
180;21.723104;1800.000000
181;21.731977;1800.000000
182;21.740843;1800.000000
183;21.749702;1800.000000
184;21.758554;1800.000000
185;21.767401;1800.000000
186;21.776239;1800.000000
187;21.785072;1800.000000
188;21.793898;1800.000000
189;21.802717;1800.000000
190;21.811529;1800.000000
191;21.820335;1800.000000
192;21.829134;1800.000000
193;21.837927;1800.000000
194;21.846712;1800.000000
195;21.855492;1800.000000
196;21.864264;1800.000000
197;21.873028;1800.000000
198;21.881786;1800.000000
199;21.890537;1800.000000
200;21.899282;1800.000000
201;21.908020;1800.000000
202;21.916752;1800.000000
203;21.925476;1800.000000
204;21.934195;1800.000000
205;21.942905;1800.000000
206;21.951611;1800.000000
207;21.960308;1800.000000
208;21.969000;1800.000000
209;21.977686;1800.000000
210;21.986364;1800.000000
211;21.995037;1800.000000
212;22.003702;1800.000000
213;22.012362;1800.000000
214;22.021013;1800.000000
215;22.029659;1800.000000
216;22.038298;1800.000000
217;22.046930;1800.000000
218;22.055555;1800.000000
219;22.064175;1800.000000
220;22.072786;1800.000000
221;22.081392;1800.000000
222;22.089991;1800.000000
223;22.098583;1800.000000
224;22.107170;1800.000000
225;22.115749;1800.000000
226;22.124323;1800.000000
227;22.132889;1800.000000
228;22.141449;1800.000000
229;22.150002;1800.000000
230;22.158548;1800.000000
231;22.167089;1800.000000
232;22.175623;1800.000000
233;22.184151;1800.000000
234;22.192671;1800.000000
235;22.201185;1800.000000
236;22.209692;1800.000000
237;22.218193;1800.000000
238;22.226688;1800.000000
239;22.235176;1800.000000
240;22.243658;1800.000000
241;22.252132;1800.000000
242;22.260601;1800.000000
243;22.269064;1800.000000
244;22.277519;1800.000000
245;22.285969;1800.000000
246;22.294413;1800.000000
247;22.302849;1800.000000
248;22.311279;1800.000000
249;22.319702;1800.000000
250;22.328119;1800.000000
251;22.336531;1800.000000
252;22.344934;1800.000000
253;22.353333;1800.000000
254;22.361725;1800.000000
255;22.370110;1800.000000
256;22.378489;1800.000000
257;22.386860;1800.000000
258;22.395226;1800.000000
259;22.403585;1800.000000
260;22.411938;1800.000000
261;22.420284;1800.000000
262;22.428625;1800.000000
263;22.436958;1800.000000
264;22.445286;1800.000000
265;22.453608;1800.000000
266;22.461922;1800.000000
267;22.470230;1800.000000
268;22.478533;1800.000000
269;22.486828;1800.000000
270;22.495117;1800.000000
271;22.503401;1800.000000
272;22.511677;1800.000000
273;22.519947;1800.000000
274;22.528212;1800.000000
275;22.536469;1800.000000
276;22.544720;1800.000000
277;22.552965;1800.000000
278;22.561205;1800.000000
279;22.569437;1800.000000
280;22.577663;1800.000000
281;22.585884;1800.000000
282;22.594097;1800.000000
283;22.602304;1800.000000
284;22.610506;1800.000000
285;22.618700;1800.000000
286;22.626888;1800.000000
287;22.635071;1800.000000
288;22.643248;1800.000000
289;22.651417;1800.000000
290;22.659580;1800.000000
291;22.667738;1800.000000
292;22.675890;1800.000000
293;22.684034;1800.000000
294;22.692173;1800.000000
295;22.700306;1800.000000
296;22.708431;1800.000000
297;22.716551;1800.000000
298;22.724665;1800.000000
299;22.732773;1800.000000
300;22.740873;1800.000000
301;22.748968;1800.000000
302;22.757057;1800.000000
303;22.765141;1800.000000
304;22.773218;1800.000000
305;22.781288;1800.000000
306;22.789352;1800.000000
307;22.797411;1800.000000
308;22.805464;1800.000000
309;22.813509;1800.000000
310;22.821548;1800.000000
311;22.829582;1800.000000
312;22.837610;1800.000000
313;22.845631;1800.000000
314;22.853645;1800.000000
315;22.861654;1800.000000
316;22.869658;1800.000000
317;22.877655;1800.000000
318;22.885645;1800.000000
319;22.893629;1800.000000
320;22.901608;1800.000000
321;22.909580;1800.000000
322;22.917547;1800.000000
323;22.925507;1800.000000
324;22.933460;1800.000000
325;22.941408;1800.000000
326;22.949350;1800.000000
327;22.957287;1800.000000
328;22.965218;1800.000000
329;22.973141;1800.000000
330;22.981058;1800.000000
331;22.988970;1800.000000
332;22.996876;1800.000000
333;23.004776;1800.000000
334;23.012669;1800.000000
335;23.020555;1800.000000
336;23.028437;1800.000000
337;23.036312;1800.000000
338;23.044182;1800.000000
339;23.052046;1800.000000
340;23.059904;1800.000000
341;23.067755;1800.000000
342;23.075600;1800.000000
343;23.083439;1800.000000
344;23.091272;1800.000000
345;23.099100;1800.000000
346;23.106922;1800.000000
347;23.114738;1800.000000
348;23.122547;1800.000000
349;23.130350;1800.000000
350;23.138147;1800.000000
351;23.145939;1800.000000
352;23.153725;1800.000000
353;23.161505;1800.000000
354;23.169279;1800.000000
355;23.177048;1800.000000
356;23.184809;1800.000000
357;23.192564;1800.000000
358;23.200314;1800.000000
359;23.208057;1800.000000
360;23.215796;1800.000000
361;23.223528;1800.000000
362;23.231255;1800.000000
363;23.238976;1800.000000
364;23.246691;1800.000000
365;23.254400;1800.000000
366;23.262102;1800.000000
367;23.269798;1800.000000
368;23.277489;1800.000000
369;23.285173;1800.000000
370;23.292852;1800.000000
371;23.300526;1800.000000
372;23.308193;1800.000000
373;23.315855;1800.000000
374;23.323511;1800.000000
375;23.331161;1800.000000
376;23.338806;1800.000000
377;23.346445;1800.000000
378;23.354078;1800.000000
379;23.361706;1800.000000
380;23.369326;1800.000000
381;23.376940;1800.000000
382;23.384548;1800.000000
383;23.392151;1800.000000
384;23.399748;1800.000000
385;23.407339;1800.000000
386;23.414925;1800.000000
387;23.422504;1800.000000
388;23.430079;1800.000000
389;23.437647;1800.000000
390;23.445210;1800.000000
391;23.452766;1800.000000
392;23.460318;1800.000000
393;23.467863;1800.000000
394;23.475403;1800.000000
395;23.482937;1800.000000
396;23.490465;1800.000000
397;23.497988;1800.000000
398;23.505505;1800.000000
399;23.513016;1800.000000
400;23.520521;1800.000000
401;23.528021;1800.000000
402;23.535515;1800.000000
403;23.543003;1800.000000
404;23.550486;1800.000000
405;23.557962;1800.000000
406;23.565434;1800.000000
407;23.572899;1800.000000
408;23.580359;1800.000000
409;23.587812;1800.000000
410;23.595261;1800.000000
411;23.602703;1800.000000
412;23.610140;1800.000000
413;23.617571;1800.000000
414;23.624996;1800.000000
415;23.632416;1800.000000
416;23.639830;1800.000000
417;23.647238;1800.000000
418;23.654640;1800.000000
419;23.662037;1800.000000
420;23.669428;1800.000000
421;23.676813;1800.000000
422;23.684193;1800.000000
423;23.691566;1800.000000
424;23.698935;1800.000000
425;23.706297;1800.000000
426;23.713654;1800.000000
427;23.721004;1800.000000
428;23.728352;1800.000000
429;23.735693;1800.000000
430;23.743029;1800.000000
431;23.750359;1800.000000
432;23.757683;1800.000000
433;23.765001;1800.000000
434;23.772314;1800.000000
435;23.779621;1800.000000
436;23.786922;1800.000000
437;23.794218;1800.000000
438;23.801508;1800.000000
439;23.808792;1800.000000
440;23.816071;1800.000000
441;23.823343;1800.000000
442;23.830612;1800.000000
443;23.837875;1800.000000
444;23.845133;1800.000000
445;23.852385;1800.000000
446;23.859631;1800.000000
447;23.866871;1800.000000
448;23.874105;1800.000000
449;23.881334;1800.000000
450;23.888557;1800.000000
451;23.895775;1800.000000
452;23.902987;1800.000000
453;23.910194;1800.000000
454;23.917397;1800.000000
455;23.924593;1800.000000
456;23.931784;1800.000000
457;23.938969;1800.000000
458;23.946148;1800.000000
459;23.953321;1800.000000
460;23.960489;1800.000000
461;23.967653;1800.000000
462;23.974812;1800.000000
463;23.981964;1800.000000
464;23.989111;1800.000000
465;23.996252;1800.000000
466;24.003387;1800.000000
467;24.010517;1800.000000
468;24.017643;1800.000000
469;24.024763;1800.000000
470;24.031878;1800.000000
471;24.038986;1800.000000
472;24.046089;1800.000000
473;24.053186;1800.000000
474;24.060278;1800.000000
475;24.067366;1800.000000
476;24.074448;1800.000000
477;24.081524;1800.000000
478;24.088594;1800.000000
479;24.095659;1800.000000
480;24.102718;1800.000000
481;24.109774;1800.000000
482;24.116823;1800.000000
483;24.123867;1800.000000
484;24.130905;1800.000000
485;24.137938;1800.000000
486;24.144964;1800.000000
487;24.151987;1800.000000
488;24.159004;1800.000000
489;24.166016;1800.000000
490;24.173021;1800.000000
491;24.180021;1800.000000
492;24.187017;1800.000000
493;24.194008;1800.000000
494;24.200993;1800.000000
495;24.207972;1800.000000
496;24.214945;1800.000000
497;24.221914;1800.000000
498;24.228878;1800.000000
499;24.235836;1800.000000
500;24.242788;1800.000000
501;24.249735;1800.000000
502;24.256678;1800.000000
503;24.263615;1800.000000
504;24.270546;1800.000000
505;24.277472;1800.000000
506;24.284393;1800.000000
507;24.291309;1800.000000
508;24.298220;1800.000000
509;24.305124;1800.000000
510;24.312023;1800.000000
511;24.318918;1800.000000
512;24.325808;1800.000000
513;24.332691;1800.000000
514;24.339569;1800.000000
515;24.346443;1800.000000
516;24.353312;1800.000000
517;24.360174;1800.000000
518;24.367031;1800.000000
519;24.373884;1800.000000
520;24.380732;1800.000000
521;24.387573;1800.000000
522;24.394409;1800.000000
523;24.401241;1800.000000
524;24.408068;1800.000000
525;24.414888;1800.000000
526;24.421703;1800.000000
527;24.428514;1800.000000
528;24.435320;1800.000000
529;24.442120;1800.000000
530;24.448915;1800.000000
531;24.455706;1800.000000
532;24.462490;1800.000000
533;24.469269;1800.000000
534;24.476044;1800.000000
535;24.482813;1800.000000
536;24.489576;1800.000000
537;24.496336;1800.000000
538;24.503090;1800.000000
539;24.509838;1800.000000
540;24.516581;1800.000000
