czas;temp;moc
0;19.694302;0.000000
1;19.390940;0.000000
2;19.089897;0.000000
3;18.791155;0.000000
4;18.494696;0.000000
5;18.200502;0.000000
6;17.908558;0.000000
7;17.867931;1100.000000
8;17.827616;1100.000000
9;17.787607;1100.000000
10;17.747904;1100.000000
11;17.708504;1100.000000
12;17.669405;1100.000000
13;17.630606;1100.000000
14;17.592102;1100.000000
15;17.553894;1100.000000
16;17.515978;1100.000000
17;17.478352;1100.000000
18;17.441013;1100.000000
19;17.403959;1100.000000
20;17.367189;1100.000000
21;17.330700;1100.000000
22;17.294489;1100.000000
23;17.258554;1100.000000
24;17.222895;1100.000000
25;17.187508;1100.000000
26;17.152391;1100.000000
27;17.117544;1100.000000
28;17.082962;1100.000000
29;17.048645;1100.000000
30;17.014589;1100.000000
31;16.980795;1100.000000
32;16.947258;1100.000000
33;16.913979;1100.000000
34;16.880953;1100.000000
35;16.848179;1100.000000
36;16.815657;1100.000000
37;16.783382;1100.000000
38;16.751354;1100.000000
39;16.719570;1100.000000
40;16.688030;1100.000000
41;16.656731;1100.000000
42;16.625671;1100.000000
43;16.594849;1100.000000
44;16.564262;1100.000000
45;16.533909;1100.000000
46;16.503788;1100.000000
47;16.473896;1100.000000
48;16.444233;1100.000000
49;16.414797;1100.000000
50;16.385586;1100.000000
51;16.356598;1100.000000
52;16.327831;1100.000000
53;16.299284;1100.000000
54;16.270956;1100.000000
55;16.242844;1100.000000
56;16.214947;1100.000000
57;16.187263;1100.000000
58;16.159792;1100.000000
59;16.132530;1100.000000
60;16.105476;1100.000000
61;16.078629;1100.000000
62;16.051987;1100.000000
63;16.025549;1100.000000
64;15.999312;1100.000000
65;15.973277;1100.000000
66;15.947440;1100.000000
67;15.921801;1100.000000
68;15.896358;1100.000000
69;15.871109;1100.000000
70;15.846053;1100.000000
71;15.821189;1100.000000
72;15.796515;1100.000000
73;15.772029;1100.000000
74;15.747730;1100.000000
75;15.723618;1100.000000
76;15.699689;1100.000000
77;15.675943;1100.000000
78;15.652379;1100.000000
79;15.628995;1100.000000
80;15.605789;1100.000000
81;15.582761;1100.000000
82;15.559909;1100.000000
83;15.537231;1100.000000
84;15.514728;1100.000000
85;15.492395;1100.000000
86;15.470234;1100.000000
87;15.448241;1100.000000
88;15.426417;1100.000000
89;15.404760;1100.000000
90;15.383268;1100.000000
91;15.361940;1100.000000
92;15.340775;1100.000000
93;15.319773;1100.000000
94;15.298930;1100.000000
95;15.278247;1100.000000
96;15.257722;1100.000000
97;15.237353;1100.000000
98;15.217141;1100.000000
99;15.197083;1100.000000
0;15.177178;1100.000000
1;15.157426;1100.000000
2;15.137824;1100.000000
3;15.118372;1100.000000
4;15.099069;1100.000000
5;15.079913;1100.000000
6;15.060904;1100.000000
7;15.042040;1100.000000
8;15.023320;1100.000000
9;15.004744;1100.000000
10;14.986309;1100.000000
11;14.968015;1100.000000
12;14.949861;1100.000000
13;14.931846;1100.000000
14;14.913968;1100.000000
15;14.896227;1100.000000
16;14.878621;1100.000000
17;14.861150;1100.000000
18;14.843812;1100.000000
19;14.826607;1100.000000
20;14.809533;1100.000000
21;14.792590;1100.000000
22;14.775777;1100.000000
23;14.759092;1100.000000
24;14.742535;1100.000000
25;14.726104;1100.000000
26;14.709799;1100.000000
27;14.693618;1100.000000
28;14.677561;1100.000000
29;14.661627;1100.000000
30;14.645814;1100.000000
31;14.630122;1100.000000
32;14.614551;1100.000000
33;14.599098;1100.000000
34;14.583763;1100.000000
35;14.568545;1100.000000
36;14.553444;1100.000000
37;14.538458;1100.000000
38;14.523586;1100.000000
39;14.508829;1100.000000
40;14.494184;1100.000000
41;14.479651;1100.000000
42;14.465230;1100.000000
43;14.450918;1100.000000
44;14.436716;1100.000000
45;14.422623;1100.000000
46;14.408637;1100.000000
47;14.394758;1100.000000
48;14.380985;1100.000000
49;14.367317;1100.000000
50;14.353754;1100.000000
51;14.340295;1100.000000
52;14.326938;1100.000000
53;14.313683;1100.000000
54;14.300529;1100.000000
55;14.287477;1100.000000
56;14.274524;1100.000000
57;14.261670;1100.000000
58;14.248915;1100.000000
59;14.236257;1100.000000
60;14.223695;1100.000000
61;14.211229;1100.000000
62;14.198859;1100.000000
63;14.186584;1100.000000
64;14.174401;1100.000000
65;14.162313;1100.000000
66;14.150316;1100.000000
67;14.138412;1100.000000
68;14.126597;1100.000000
69;14.114874;1100.000000
70;14.103240;1100.000000
71;14.091695;1100.000000
72;14.080238;1100.000000
73;14.068869;1100.000000
74;14.057587;1100.000000
75;14.046391;1100.000000
76;14.035280;1100.000000
77;14.024255;1100.000000
78;14.013313;1100.000000
79;14.002456;1100.000000
80;13.991681;1100.000000
81;13.980989;1100.000000
82;13.970378;1100.000000
83;13.959848;1100.000000
84;13.949399;1100.000000
85;13.939030;1100.000000
86;13.928740;1100.000000
87;13.918529;1100.000000
88;13.908395;1100.000000
89;13.898339;1100.000000
90;13.888360;1100.000000
91;13.878457;1100.000000
92;13.868629;1100.000000
93;13.858877;1100.000000
94;13.849199;1100.000000
95;13.839596;1100.000000
96;13.830066;1100.000000
97;13.820608;1100.000000
98;13.811223;1100.000000
99;13.801909;1100.000000
